RADICADO;TIPO DE CLIENTE;TIPO TRAMITE;SEGMENTO CLIENTE;COMENTARIO;CLASIFICACION
1-19296884;DETRACTOR;Poderes Leasing;PREMIUM;TENEMOS UN CREDITO LEASING CON DAVIVIENDA, DEL CUAL HEMOS SOLICITADO ELASTICIDAD, Y MAYOR FACILIDAD PARA SU PAGO, TENIENDO EN CUENTA QUE SOMOS DE LA TERCERA EDAD. NO SE HA TENIDO EN CUENTA NADA DE LO REQUERIDO, NI LA ENTIDAD HA BUSCADO FORMULAS DE SOLUCION A NUESTRAS SUPLICADAS PETICIONES. ES UN CREDITO QUE AFECTA EL PATRIMONIO FAMILIAR, Y A PESAR DEL PAGO MENSUAL  QUE CADA VEZ ES MAS ELEVADO, EN FORMA CUMPLIDA, SE HACE CON ESFUERZO MAXIMO, SE DEBE IRONICAMENTE MAS. SI BIEN ES CIERTO, SOMOS USUARIOS DEL SERVICIO COMO OTRAS PERSONAS, HEMOS ACUDIDO A LOS SERVICIOS DE LA ENTIDAD, NO ES MENOS CIERTO, QUE NO FACILITAN LOS MEDIOS MAS FAVORABLES, PARA BUSCAR EL PAGO CON LAS MAYORES FACILIDADES. PARA LOS EFECTOS ANTERIORES, NO SE TIENE EN CUENTA NUESTRO HISTORIAL CREDITICIO, NI LOS PRODUCTOS ADQUIRIDOS A ESA ENTIDAD,  CON  EXCELENTE MANEJO, OBSERVANDO QUE POR EL CONTRARIO SE PREMIAN A LOS QUE INCUMPLEN LAS OBLIGACIONES, CONCEDIENDOLES, CIERTAS PRERROGATIVAS PARA EL PAGO. NO SE HUMANIZA EL SECTOR FINANCIERO, EN CUANTO A ESA ENTIDAD, ESTANDO PLENAMENTE DESFRAUDADOS. ATENTAMENTE, ANA LUCIA OSORIO ESPINEL C.C. NO 51.646.733 DE BOGOTA. ALBERTO YESID BELTRAN MACIAS C.C. NO 19.296.884 DE BOGOTA  ESPERAMOS QUE TRATEN ESTE CASO CON ATENCION Y CUIDADO, Y SE APLIQUEN FORMULAS PARA FACILITAR EL PAGO MENSUAL DE ACUERDO A NUESTRAS CAPACIDADES ECONOMICAS.;OTRO
1700858818188-37;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;ME RESOLVIERON DESPUES DE UN MES EN REALIDAD ME FUE MUY MAL CON ESTE SERVICIO LO RECOMENDARIA 0;DEMORA TRAMITE
CES-32706559;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MEJORAR EN TODO;INCONFORMIDAD SERVICIO
CES-1010189525;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NECESITO QUE ME SOLUCIONEN.;INCONFORMIDAD SERVICIO
POL-80198759;DETRACTOR;Poderes Leasing Call Center;CLASICO;QUE NO PUEDEN SER CONTRADICTORIOS CON LA INFORMACION LOS ASESORES, HAY UNOS QUE SI PUEDE HACER LAS COSAS Y OTROS QUE NO,ENTONCES O EN REALIDAD NO PUEDEN O LES DA PEREZA.;OTRO
1-39738067793;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;AU NO LE HAN DADO RESPUESTA;DEMORA TRAMITE
CES-53122429;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MEJORAR EN CUANTO LA ASESORIA Y ATENCION EN OFICINA DE ESTOS PROCESOS YA QUE ALLI NO LE DIERON SEGUIMIENTO NI RESPUESTA AL REQUERIMIENTO;OTRO
CES-79408112;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM;ALGUIEN TENGA CLARO LOS PROCESOS ESPECIFICOS;CLARIDAD INFORMACION
1-37928673505;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;SI ES MUY DEMORADA LA RESPUESTA;DEMORA TRAMITE
1701178222196-67;DETRACTOR;Poderes Leasing;PREMIUM PLUS;NO TENGO NADA PARA APORTAR;SIN COMENTARIO
1-72267835;DETRACTOR;Poderes Leasing;CLASICO;NO FUE RESUELTA MI DUDA.;CLARIDAD INFORMACION
1-37844082338;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;NINGUN COMENTARIO;SIN COMENTARIO
POL-80244388;DETRACTOR;Poderes Leasing Call Center;PREMIUM;MEJORAR LOS TIEMPO DE ESPERA, QUE SEA TODO MAS FACIL;DEMORA TRAMITE
POL-93340515;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO REFIERE;SIN COMENTARIO
CES-1030689148;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;POR EL MOMENTO NO;SIN COMENTARIO
1700232585576-64;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;UNO CANCELA Y NO ES CLARO EL PROCESO A SEGUIR,BAJE Y UN CAJERO ME DIJO QUE NO SABIA,ME DECIA QUE TENIA QUE LLAMAR,NO FUE CLARA LA INFORMACION.;OTRO
CES-1068927321;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MEJORAR DAR CAPACITACIONES A LAS FUNCIONARIOS PARA TENER CLAROS DE LOS PROCESOS;CLARIDAD INFORMACION
1-2984931;DETRACTOR;Poderes Leasing;CLASICO;;SIN COMENTARIO
1700153314330-06;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;SIN COMENTARIOS;SIN COMENTARIO
1-35838475313;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;CASI PIERDO EL NEGOCIO ,UNO LE TIRABA LA PELOTA AL OTRO;INCONFORMIDAD SERVICIO
CES-43926807;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NECESITABA UNA CERTIFICACION ESPECIFICA POR ESO SE FUE POR SOLICITUD ESPECIAL,FUI AL BANCO Y LA MUCHACHA MUY QUERIDA Y NO PUDO,ME TOCO LLAMAR Y LA PEDI, LA NECESITABA CON LA CUOTA DEL VALOR Y ME DICEN QUE NO SE PUEDE GENERAR Y NO ME LO RESPONDIERON.NUNCA ME DIERON SOLUCION.;OTRO
POL-52821308;DETRACTOR;Poderes Leasing Call Center;CLASICO;PROCESO DESGASTANTE LE DEBERIAN DE FACILITARLE LOS PROCESOS A LAS PERSONAS QUE ADQUIEREN ESTOS TIPOS DE CREDITOS PORQUE SON MUCHOS DOCUMENTOS QUE LE SOLICITARON;INCONFORMIDAD SERVICIO
1699647481166-59;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO PUEDO RECOMENDAR A NADIE POR QUE EL CREDITO QUE TENIA ERA DE COFINANCIERA LUEGO PEDI, OTRO CREDITO Y NUNCA FUE POR PARTE DE DAVIVIENDA Y NO HAY INFORMACION COMPLETA,NO ATIENDEN PERSONALMENTE ME TOCO PAGAR UN LEVANTAMIENTO DE PRENDA Y ANTES NO COBRABAN POR ESO.;INCONFORMIDAD SERVICIO
1-39516276628;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;DE QUE UNO PAGO Y QUEDO DEBIENDO Y ME COBRARON PARA QUE ENVIARAN LOS PAPELES SIEMPRE COBRAN EN LUGAR DE HABER SIDO GRATIS DE IGUAL FORMA COBRARON ESO Y ESTOY PAGANDO UN SEGURO Y NO ES JUSTO DE QUE ME COBREN EL ENVIO DE LA DOCUMENTACION ESO ES LO UNICO QUE NO ME GUSTO;INCONFORMIDAD SERVICIO
CES-80204854;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LOS TIEMPOS DE RESPUESTA;DEMORA TRAMITE
1697730052925-88;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SIN COMENTARIOS;SIN COMENTARIO
1700094102268-61;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;FUE DEMORADO LA RESPUESTA TARDO DOS SEMANAS;DEMORA TRAMITE
1-38890979114;DETRACTOR;Cambio De Condiciones(Cambio De Moneda);CLASICO;QUE SEAN MAS CLAROS EN LOS PROCESOS,QUE ENVIEN TODA LA DOCUMENTACION PARA UNO NO ESTAR PERDIENDO TIEMPO.;CLARIDAD INFORMACION
CES-57300261;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;YO PASE AL DERECHO DE PETICION Y ME CONTESTARON OTRA COSA. TENIAN QUE RESPONDER EN UN TIEMPO Y ME CONTESTARON UN TIEMPO DESPUES.;DEMORA TRAMITE
1701196857431-40;DETRACTOR;Poderes Leasing;CLASICO;TODO EL TIEMPO QUE HEMOS ESTADO HACIENDO ESTE PROCESO NUNCA NOS RESPONDEN NO NOS ATIENDEN Y HEMOS PERDIDO DINERO Y EN ESA ESPERA Y ESPERA Y ESPERO ES MUY MALA NO TENER;DEMORA TRAMITE
CES-98627664;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;TERRIBLE NO HE PODIDO REALIZAR UN ENDOSO DEL SEGURO DE MI VEHICULO POR POLITICAS DE LA EMPRESA;OTRO
1700158246290-25;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;MUY DEMORADO ,NO HABIA CLARIDAD EN LAS RESPUESTA FUI A LA SUCURSAL Y TAMPOCO TENIAN RESPUESTA.;DEMORA TRAMITE
CES-1013624294;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO LE HAN DADO RESPUESTA A SU SOLICITUD LUEGO DE ESPERAR 14 DIAS HABILES AHORA LE HAN INDICADO QUE DEBE ESPERAR 8 DIAS MAS. EL BANCO DE DESDE QUE QUITO LA SUCURSAL DE CARTERA TODO MUNDO SE TIRA LA PELOTA;DEMORA TRAMITE
1-39519217838;DETRACTOR;Cambio De Condiciones(Disminucion De Plazo);CLASICO;LA RESPUESTA ES INCONCLUSA.  SUGIERE TENER UN CONTACTO DIRECTO CON EL ASESOR PARA QUE SEA MAS OPTIMO EL PROCESO;INCONFORMIDAD SERVICIO
POL-33358716;DETRACTOR;Poderes Leasing Call Center;PREMIUM;UNO LLAMA Y LO PONEN EN LA LINEA 50 MINUTOS Y LUEGO CUELGAN LA LLAMADA,POR QUE SON ASESORES QUE NO TIENEN QUE LA COMPETITIVIDAD PARA DAR UNA RESPUESTA;OTRO
1699370123578-24;DETRACTOR;Levantamiento De Hipoteca;CLASICO;NO REFIERE.;SIN COMENTARIO
CES-12113406;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NUNCA RESPONDEN LA COSAS CUANDO DEBE DE SER,EL BANCO ME DA UN VALOR PARA SANAR LA DEUDA Y A LOS 3 O 4 DIAS YA HAY MAS INTERES, Y OTRA COSA LLAMAN Y LLAMAN Y NUNCA SOLUCIONAN UN PROBLEMA,TUVE UN FRAUDE Y CASI ME LLEVAN A LA QUIEBRA ME TOCABA PAGAR Y PAGAR INTERES, EN NEIVA EL BANCO NO SIRVE PARA NADA PAGANDOLE INTERES A UN  FRAUDE EN EL CUAL YO NO TENIA NADA QUE VER.;OTRO
POL-249407;DETRACTOR;Poderes Leasing Call Center;PREMIUM;QUE LAS PREGUNTAS ESTAN MUY ABIERTAS HAY QUE SER MAS CLARAS, EH CONTESTADO EN GENERAL HAY QUE SER MAS ESPECIFICOS.;OTRO
CES-39805143;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;QUE TIENE MUCHA TRAMITOLOGIA PARA DAR UNA RESPUESTA Y ATENCION RAPIDA;INCONFORMIDAD SERVICIO
CES-78588661;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUY BUENOS DIAS, MIS COMENTARIOS SE BASAN EN EL HECHO DE QUE ME APROBARON EL CREDITO Y AUN NO ME LLEGA MI TARJETA FISICA, PESE A VARIAS SOLICITUDES;OTRO
1701354720775-54;DETRACTOR;Levantamiento Prenda Vehiculo;INCLUSION;PESIMO EL SERVICIO QUE OFRECEN,  ME ENVIAN UN LIN EL 6 DE DICIEMBRE Y PAGUE 24 MIL PESOS POR EL DOCUMENTO QUE JAMAS LLEGO LUEGO ME VOY A UNA OFICINA ME HACEN UN RADICADO Y ME LLEGA NUEVAMENTE UN CORREO COBRANDOME 10 MIL PESOS  POR QUE RAZON Y SIGO SIN EL DOCUMENTO DE LEVANTAMIENTO DE PRENDA;ENTREGA DOCUMENTOS
1-71379007;DETRACTOR;Poderes Leasing;CLASICO;AUN SIGUE MALO;INCONFORMIDAD SERVICIO
1-7724286;DETRACTOR;Poderes Leasing;CLASICO;HAY DISCRIMINACION EN LA OFICINA DEL CENTRO COMERCIAL VENTURA TERREROS EN SOACHA CUNDINAMARCA. ALLI ME QUERIAN QUE HICIERA UNA FILA CON MI PROBLEMA DE SALUD SINCOPE Y ESO QUE SOY CLIENTE DE NOMINA;OTRO
CES-1032381175;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;DEBERIA DE HABER UN ASESOR CONTESTANDO LAS INQUIETUDES. NO UNA MAQUINA QUE SE LIMITA A DAR INFORMACION Q UNO NO ESTA PIDIENDO;OTRO
CES-8064190;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LLEVO UN MES ESPERANDO TARJETA DE CREDITO.;OTRO
CES-1049613287;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;PESIMA ATENCION.;INCONFORMIDAD SERVICIO
CES-5581494;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;UNA EXPERIENCIA MUY NEGATIVA, NO LE RECOMIENDO A NADIE, ME PROMETIERON UNA COSA Y ME COBRARON OTRA, ME COBRARON UN SEGURO AL INICIO QUE SI NO RECLAMO  A TIEMPO EN QUE HUBIERA TERMINADO.    GRACIAS;OTRO
CES-98644489;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ME ENVIARON SOLO UNO DE LOS DOS DOCUMENTOS QUE LES SOLICITE;ENTREGA DOCUMENTOS
CES-86083967;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MY MALA, COMO ES POSIBLE REALICEN EL COBRO DE CUOTA DE MANEJO CUANDO NO TENGO ACCESO A LA TARJETA.;OTRO
1703104962811-18;DETRACTOR;Poderes Leasing;CLASICO;A CAUSA DE LA NEGLIGENCIA DE LOS FUNCIONARIOS DEL BANCO, ME TOCO PAGAR UNA CANTIDAD DE INTERESES EN EL PAGO DEL IMPUESTO PREDIAL. ACLARO QUE SE QUE ES MI RESPONSABILIDAD EL IMPUESTO PERO EN VARIAS OCASIONES ME ACERQUE AL BANCO SIN OBTENER RESPUESTA ACERTADA.;CLARIDAD INFORMACION
CES-1095937746;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SON UNAS GONORREAS PORQUE NO SON HONESTO CON LA INFORMACION Y LA PLATA QUE LES DEBO SE LA PAGARA SU PUTA MADRE.;INCONFORMIDAD SERVICIO
CES-43581050;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMO SERVICIO;INCONFORMIDAD SERVICIO
CES-88255063;DETRACTOR;Certificaciones Especiales Call Center;PREMIUM PLUS;QUE EN LA OFICINA DE PAMPLONA NO SOLUCIONAN NADA NO SON SERIOS Y SON FALTA DE RESPETO PURAS ASESORES DORMIDOS Y EL GERENTE MAS;OTRO
CES-42791806;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EN LOS CALL CENTER IMPOSIBLE LA COMUNICACION, DEMORA CON LOS PROCESOS;OTRO
1-40432625814;DETRACTOR;Copia De Documentos Cartera;CLASICO;COLOQUE UN REQUERIMIENTO SOLICITANDO TODA LA INFORMACION RESPECTO A MI CREDITO HIPOTECARIO COMO LA TASA MENSUAL, SI ES TASA FIJA O UVR, LA TASA EFECTIVA ANUAL Y LA INFORMACION DE LOS SEGUROS. APENAS ME LLEGO LA INFORMACION DE LOS SEGUROS Y NO ME LLEGO EL RESTO DE LA INFORMACION QUE PEDI.;OTRO
CES-16842904;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NUNCA ME LLEGO LA TARJETA DE CREDITO;OTRO
CES-1073517920;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;.;SIN COMENTARIO
CES-52787019;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ES POSIBLE LA COMUNICACION;INCONFORMIDAD SERVICIO
CES-3055776;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EN LA VIDA DE MI CREDITO NO HE LOGRADO ME ENVIEN EL EXTRACTO. Q TRISTEZA Y SERVICIO PESIMO Y AHORA NI SIQUIERA ME PUEDEN ENVIAR UN  EMAIL PARA SABER MI CUOTA DE PAGO.  Q SERVICIO TAN DEPLORABLE;OTRO
CES-1001140013;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA ATENCION ;INCONFORMIDAD SERVICIO
CES-79531986;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;DEBEN RESOLVER EN LA LLAMADA , SON LENTOS NO SOLUCIONAN NADA;OTRO
CES-29285962;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;LLEVO 1 MES ESPERANDO UN CERTIFICADO DE DEUDA CON EL BENEFICIO DE CONSIGNACION DE DEUDA Y NADA PARA HACER EL PAGO TOTAL;ENTREGA DOCUMENTOS
POL-70325439;DETRACTOR;Poderes Leasing Call Center;PREMIUM;NO ATENDIERON LO SOLICITADO, MANDAN RESPUESTAS QUE NO CORRESPONDEN E INCOMPLETAS;ENTREGA DOCUMENTOS
CES-79568191;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUCHA DEMORA CON LA ENTREGA DE LA TARJETA Y NO ME SOLUCIONARON,  CUANDO LA NECECITABA;OTRO
CES-41116300;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;INSATISFACCION COMO CLIENTE YA NO VOLVERIA A TRATAR CON ESTA ENTIDAD.;INCONFORMIDAD SERVICIO
CES-1007700628;DETRACTOR;Certificaciones Especiales Call Center;INCLUSION;NO RESOLVIERON NADA, TENGO Q;INCONFORMIDAD SERVICIO
CES-31429993;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;HE SOLICITADO LEVANTAMIENTO DE PRENDA DESDE 26 DE DICIEMBRE, NO.LLEGA EL.LEVANTAMIENTO NI EL PAZ Y SALVO RELACIONO CORREO MMUNOZ@CALDASMOTORPEREIRA.COM.CO;DEMORA TRAMITE
CES-53066691;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;EN LAS OFICINAS NO ENTREGAN EL PAZ Y SALVO Y SE DEMORAN EN ATENDER 2 HORAS;OTRO
CES-1087995595;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;SOLICITE LA CANCELACION DE UNA TARJETA DE CREDITO, POR LA CUAL ME COBRAN SIN USAR HACE MAS DE UN ANO, CANCELE EL SALDO Y NUEVAMENTE ME LLEGO EL COBRO. TC 9743;OTRO
CES-21788950;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ME CAMBIARON LAS CONDICIONES DE PAGO DE MI CREDITO, TANTO EN VALOR A PAGAR CON EN FECHA DE PAGO.  ME HAN HECHO 3 REQUERIMIENTOS 2 DESDE LA LINEA Y 1 DESDE FUNCIONARIO EN OFICINA PARA QUE ME REGRESEN LLAMADA DEL AREA DE CREDITOS Y SE PUEDA NORMALIZAR EL PAGO EN FUNCION DEL CUMPLIMIENTO DEL COMPROMISO PACTADO Y DESPUES DE 5 DIAS NO HAN LLAMADO.;OTRO
CES-1073238397;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;NO ME AYUDARON NI DIERON UNA RESPUESTA QUE REALMENTE ME SIRVIERA.;INCONFORMIDAD SERVICIO
CES-43221654;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;MUY MAL QUE SOLICITEN CONFIRMAR NUMERO DE CELULAR POR SI LA LLAMADA SE CORTA, SE CUELGA Y EN 7 OPORTUNIDADES NADIE REGRESO LA LLAMADA. LA SOLICITUD ES CLARA Y ENVIAN LO QUE NO SE REQUIERE, ADEMAS DAN TIEMPOS QUE NO CUMPLEN, 25 DIAS ESPERANDO UN CERTIFICADO QUE AL FINAL LO ENVIAN CON ERRORES Y ME DICEN QUE NO PUEDEN SEGUIR EN LA LINEA.;OTRO
CES-19308374;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA LA ATENCION, LOS PROCESOS DE RESOLUCION DE INCONVENIENTES CAMBIAN DE UNA OFICINA A OTRA, NO HAY UNA LINEA DE CAPACITACION QUE BENEFICIE AL USUARIO, ESTOY TOTALMENTE ARREPENTIDO DE HABER REINICIADO UN VINCULO COMERCIAL CON ESTA ENTIDAD, DESASTROZO;INCONFORMIDAD SERVICIO
1700752095653-23;DETRACTOR;Levantamiento De Hipoteca;CLASICO;PEOR QUE UN GOTA A GOTA EL PRESTAMOS;INCONFORMIDAD SERVICIO
1-1088289278;DETRACTOR;Poderes Leasing;CLASICO;III;SIN COMENTARIO
1699543721450-64;DETRACTOR;Levantamiento De Hipoteca;CLASICO;BUENO EN EL BANCO DAVIVIENDA JARDIN PLAZA NO FUE MUY GRATO EN UN COMIENZO ME MANDABAN DE UN LADO A OTRO,CUANDO LLEGABA A LA PARTE DE SERVICIO AL CLIENTE DURE 3 SEMANAS SENTANDOME ALLI Y AL FINAL ME DICEN ES CON LA SUBGERENTE YO LE DIJE A ELLA LO MAL QUE ME HABIAN TRATADO. CON LA NOTARIA 29 DE BOGOTA MUY RAPIDO. BUEN DIA.;OTRO
1699051237704-42;DETRACTOR;Levantamiento De Hipoteca;PREMIUM;DEFINITIVAMENTE EN DAVIVIEDA SON TRES DIVISIONES QUE NO SE HABLAN NI CALL CENTER, NI LA PARTE QUE MANEJA Y DINERO NI LOGISTICA EN ENTREGA DE TARJETAS, 3 TARJETAS TENIAN QUE TENER CAMBIO, NINGUNA LA LLEVARON A LA DIRECCION ACTUALIZADA SIEMPRE A PRIMERA DIRECCION, TOCO CANCELAR UNA CREDITO PORQUE NUNCA LA PUDIERON LLEVAR A LA DIRECCION PRINCIPAL, LA SEGUNDA ME TOCO QUE ME DIERAN UNA TARJETA DEBITO QUE NO LO APLICARON A LA CUENTA DE AHORROS PRINCIPAL SI NO A UNA CUENTA RENTABLE ME COBRARON EL PLASTICO Y DOS CUOTAS DE MANEJO LOGREN QUE DEVOLVIERAN UNA CUOTA, LA OFICINA QUE COMETIO EL ERROR INDICO QUE DEVOLVERIA EL DINERO DE CUOTA Y PLASTICO ESO NUNCA OCURRIO Y LA TERCERA TARJETA CASI ME TOCA CANCELAR LA CUENTA DE PENSION SE GASTARON MAS DE 20 DIAS PARA PODER ENTREGAR EN LA DIRECCION DE LA PARTE FINANCIERA DE LO ANTERIOR SE INFIERE QUE DAVIVIENDA TIENE AREAS INDEPENDIENTES CADA UNA POR SU LADO Y NO HAY UNA CABEZA QUE DIRECCIONES Y LAS REGULE;OTRO
1-98400716;DETRACTOR;Poderes Leasing;CLASICO;PESIMO PORQUE ME HAN SUBIDO LA CUOTA DEL CREDITO HIPOTECARIO DOS VECES EN MENOS DE 6 MESES Y NUNCA HA PASADO LO MISMO EN MI OTRO HIPOTECARIO QUE LLEVO PAGANDO 12 ANOS, ES UNA FALTA DE RESPETO Y SE APROVECHAN DE UNO, ESE SOLO AUMENTO SON COMO 2MILLONES EN LO QUE ME FALTA DEL CREDITO Y ESO SI NO VUELVEN A SUBIRLO, ES UN ROBO DISFRAZADO. PESIMO SERVICIO DAVIVIENDA;OTRO
CES-30403087;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;PESIMA ATENCION;INCONFORMIDAD SERVICIO
CES-1128392015;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ANTES INGRESABA POR LA SIM Y LLEVO VARIOS DIAS TRATANDO DE INGRESAR A LA PPA Y NO HE PODIDO, ME REMITEN CON UN ASESOR Y ME SOLICITAN FOTO DEL DOCUMENTO Y DE MI ROSTRO, PERO LA CAMARA QUE SE HABILITA ES MUY MALA Y COMO NO LOGRO ADJUNTAR EL DOCUMENTO ME CANCELAN LA CONVERSACION  REALIZAN UN CAMBIO Y PONEN MUCHOS INCONVENIENTES A LOS USUARIOS PARA HABILITAR UN INGRESO, APARTE NO LE DAN MAS OPCIONES PARA VERIFICAR LA INFORMACION;OTRO
CES-1032395830;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;AUN NO RECIBO RESPUESTA POR PARTE DE DAVIVIENDA, ES DEMASIADO DEMORADO EL PROCESO, NO CUMPLEN CON LOS TIEMPOS ALLI ESTIPULADOS;DEMORA TRAMITE
CES-13741824;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;VEO QUE NO TIENEN CLARIDAD DE LA CARTERA DE LOS CLIENTES, NO CONFIRMAN NADA EN LA LINEA Y PERSONALMENTE TAMPOCO VEO QUE  LA SITUACION MEJORE.;INCONFORMIDAD SERVICIO
CES-10004318;DETRACTOR;Certificaciones Especiales Call Center;CLASICO;ME DEMORE CERCA DE 90 MINUTOS. FUERON MAS DE TRES LLAMADAS QUE TUVE QUE HACER. AUN ASI NO HE PODIDO SOLUCIONAR MIS PROBLEMAS. LAS LLAMADAS SE CAEN.;OTRO
1703710197144-39;DETRACTOR;Poderes Leasing;CLASICO;EL PODER LO RECIBIO CORRECTAMENTE PERO LOS ASESORES NO TIENEN NI IDEA ACERCA DEL PROCESO DE PODERES LEASING ES INCREIBLE QUE LLEGUE A 2 OFICINAS Y LOS ASESORES SE COMIENCEN A PREGUNTAR ENTRE ELLOS PORQUE NINGUNO SABE EL PROCESO QUE SE DEBE DE REALIZAR  CAPACITEN BIEN LOS ASESORES DEL PODERES DE LEASING PORQUE DESDE QUE QUITARON LA OFICINA DE LA AV EL POBLADO TODOS LOS ASESORES QUEDARON SUELTOS DE TODO NO ES LA PRIMERA VEZ QUE TIENE PROBLEMAS CON EL PROCESO DE PODERES LEASING;CLARIDAD INFORMACION
1700604119243-82;DETRACTOR;Levantamiento De Hipoteca;CLASICO;TODO LO HICE YO SIENDO MUY INSISTENTE CON CIEN CUADRAS;INCONFORMIDAD SERVICIO
1699631428541-42;DETRACTOR;Perfeccionamiento De Leasing;CLASICO;.EL TEMA DE EXPEDIENTES DE LOS PROCESOS;INCONFORMIDAD SERVICIO
1703014591911-98;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO;SIN COMENTARIO
1702646483156-44;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;NO SABE UNO DONDE LLAMAR , ES LLAME A UN LADO Y A OTRO   MUY DEMORADA LA RESPUESTAS QUE TENGAN MAS CONOCIMIENTO LOS ASESORES;DEMORA TRAMITE
1700081724775-43;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SIN NINGUN COMENTARIO;SIN COMENTARIO
1701727608932-44;DETRACTOR;Levantamiento Prenda Vehiculo;CLASICO;.QUE REVISEN EL SISTEMA;OTRO
1701094389639-03;DETRACTOR;Levantamiento De Hipoteca;CLASICO;SE DEMORO MUCHO TIEMPO CASI UN ANO LAS PERSONAS ENCARGADAS A DAR LA RESPUESTAS DEBERIAN DE SER CLAROS CON LA INFORMACION LO COGEN DE BALON DE LLAMADA A UNO AL OTRO Y A LA FINAL NO LE DAN INFORMACION QUE NECESITA LUEGO LE TOCA IR DIRECTAMENTE AL BANCO A VER SI DA CON UNA BUENA PERSONA QUE LE AYUDE;INCONFORMIDAD SERVICIO
1703611089103-34;DETRACTOR;Poderes Leasing;CLASICO;.LA COMUNICACION LA VERDAD ENTRE LOS ABOGADOS Y EL BANCO ES MUY LENTA;DEMORA TRAMITE
1701102390585-05;DETRACTOR;Cambio De Condiciones(Cambio De Garantia);CLASICO;LA VERDAD FUE MUY MALA LA ATENCION  LA PERSONA QUE LLEVA EL PROCESO NI SIQUIERA SABIA QUE HACER  NADIE ME DABA RESPUESTA NI SIQUIERA LA PERSONA QUE ME SACO EL CREDITO  NI SABIA 3 MESES  AHI EN ESO;CLARIDAD INFORMACION
